2025-07-16 16:17:54 [INFO]    [class Shapes.RectangleLogger.<init>] Have to create shape with width: 7.7 Height: 4.0
2025-07-16 16:17:55 [INFO]    [class Shapes.CircleLogger.<init>] Have to create shape with width: 2.5 Height: 2.5
2025-08-02 18:03:27 [INFO]    [class Shapes.RectangleUtils.Logger.<init>] Have to create shape with width: 7.7 Height: 4.0
2025-08-02 18:03:27 [INFO]    [class Shapes.CircleUtils.Logger.<init>] Have to create shape with width: 2.5 Height: 2.5
2025-08-02 18:03:42 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 5001 and Name: alice example
2025-08-02 18:03:42 [DEBUG]   [Employee.setName]               Trying to Set name: alice example
2025-08-02 18:03:42 [DEBUG]   [Employee.setName]               Capitalized name: Alice Example 
2025-08-02 18:03:42 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 3001 and Name: bob example
2025-08-02 18:03:42 [DEBUG]   [Employee.setName]               Trying to Set name: bob example
2025-08-02 18:03:42 [DEBUG]   [Employee.setName]               Capitalized name: Bob Example 
2025-08-02 18:03:42 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 3002 and Name: carol example
2025-08-02 18:03:42 [DEBUG]   [Employee.setName]               Trying to Set name: carol example
2025-08-02 18:03:42 [DEBUG]   [Employee.setName]               Capitalized name: Carol Example 
2025-08-02 18:03:42 [DEBUG]   [Driver.<init>]                  Creating Driver with ID: 3002, Name: carol example, Hourly Rate: 25.0, License: B
2025-08-02 18:03:42 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 4001 and Name: fail
2025-08-02 18:03:42 [DEBUG]   [Employee.setName]               Trying to Set name: fail
2025-08-02 18:03:42 [DEBUG]   [Employee.setName]               Capitalized name: Fail 
2025-08-02 18:07:46 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 5001 and Name: alice example
2025-08-02 18:07:46 [DEBUG]   [Employee.setName]               Trying to Set name: alice example
2025-08-02 18:07:46 [DEBUG]   [Employee.setName]               Capitalized name: Alice Example 
2025-08-02 18:07:46 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 3001 and Name: bob example
2025-08-02 18:07:46 [DEBUG]   [Employee.setName]               Trying to Set name: bob example
2025-08-02 18:07:46 [DEBUG]   [Employee.setName]               Capitalized name: Bob Example 
2025-08-02 18:07:46 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 3002 and Name: carol example
2025-08-02 18:07:46 [DEBUG]   [Employee.setName]               Trying to Set name: carol example
2025-08-02 18:07:46 [DEBUG]   [Employee.setName]               Capitalized name: Carol Example 
2025-08-02 18:07:46 [DEBUG]   [Driver.<init>]                  Creating Driver with ID: 3002, Name: carol example, Hourly Rate: 25.0, License: B
2025-08-02 18:07:46 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 4001 and Name: fail
2025-08-02 18:07:46 [DEBUG]   [Employee.setName]               Trying to Set name: fail
2025-08-02 18:07:46 [DEBUG]   [Employee.setName]               Capitalized name: Fail 
2025-08-02 18:07:58 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 5001 and Name: alice example
2025-08-02 18:07:58 [DEBUG]   [Employee.setName]               Trying to Set name: alice example
2025-08-02 18:07:58 [DEBUG]   [Employee.setName]               Capitalized name: Alice Example 
2025-08-02 18:07:58 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 3001 and Name: bob example
2025-08-02 18:07:58 [DEBUG]   [Employee.setName]               Trying to Set name: bob example
2025-08-02 18:07:58 [DEBUG]   [Employee.setName]               Capitalized name: Bob Example 
2025-08-02 18:07:58 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 3002 and Name: carol example
2025-08-02 18:07:58 [DEBUG]   [Employee.setName]               Trying to Set name: carol example
2025-08-02 18:07:58 [DEBUG]   [Employee.setName]               Capitalized name: Carol Example 
2025-08-02 18:07:58 [DEBUG]   [Driver.<init>]                  Creating Driver with ID: 3002, Name: carol example, Hourly Rate: 25.0, License: B
2025-08-02 18:07:58 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 4001 and Name: fail
2025-08-02 18:07:58 [DEBUG]   [Employee.setName]               Trying to Set name: fail
2025-08-02 18:07:58 [DEBUG]   [Employee.setName]               Capitalized name: Fail 
2025-08-02 18:10:14 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 5001 and Name: alice example
2025-08-02 18:10:14 [DEBUG]   [Employee.setName]               Trying to Set name: alice example
2025-08-02 18:10:14 [DEBUG]   [Employee.setName]               Capitalized name: Alice Example 
2025-08-02 18:10:14 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 3001 and Name: bob example
2025-08-02 18:10:14 [DEBUG]   [Employee.setName]               Trying to Set name: bob example
2025-08-02 18:10:14 [DEBUG]   [Employee.setName]               Capitalized name: Bob Example 
2025-08-02 18:10:14 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 3002 and Name: carol example
2025-08-02 18:10:14 [DEBUG]   [Employee.setName]               Trying to Set name: carol example
2025-08-02 18:10:14 [DEBUG]   [Employee.setName]               Capitalized name: Carol Example 
2025-08-02 18:10:14 [DEBUG]   [Driver.<init>]                  Creating Driver with ID: 3002, Name: carol example, Hourly Rate: 25.0, License: B
2025-08-02 18:10:14 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 4001 and Name: fail
2025-08-02 18:10:14 [DEBUG]   [Employee.setName]               Trying to Set name: fail
2025-08-02 18:10:14 [DEBUG]   [Employee.setName]               Capitalized name: Fail 
2025-08-02 18:10:58 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 5001 and Name: alice example
2025-08-02 18:10:58 [DEBUG]   [Employee.setName]               Trying to Set name: alice example
2025-08-02 18:10:58 [DEBUG]   [Employee.setName]               Capitalized name: Alice Example 
2025-08-02 18:10:58 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 3001 and Name: bob example
2025-08-02 18:10:58 [DEBUG]   [Employee.setName]               Trying to Set name: bob example
2025-08-02 18:10:58 [DEBUG]   [Employee.setName]               Capitalized name: Bob Example 
2025-08-02 18:10:58 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 3002 and Name: carol example
2025-08-02 18:10:58 [DEBUG]   [Employee.setName]               Trying to Set name: carol example
2025-08-02 18:10:58 [DEBUG]   [Employee.setName]               Capitalized name: Carol Example 
2025-08-02 18:10:58 [DEBUG]   [Driver.<init>]                  Creating Driver with ID: 3002, Name: carol example, Hourly Rate: 25.0, License: B
2025-08-02 18:10:58 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 4001 and Name: fail
2025-08-02 18:10:58 [DEBUG]   [Employee.setName]               Trying to Set name: fail
2025-08-02 18:10:58 [DEBUG]   [Employee.setName]               Capitalized name: Fail 
2025-08-02 18:12:07 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 5001 and Name: alice example
2025-08-02 18:12:07 [DEBUG]   [Employee.setName]               Trying to Set name: alice example
2025-08-02 18:12:07 [DEBUG]   [Employee.setName]               Capitalized name: Alice Example 
2025-08-02 18:12:07 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 3001 and Name: bob example
2025-08-02 18:12:07 [DEBUG]   [Employee.setName]               Trying to Set name: bob example
2025-08-02 18:12:07 [DEBUG]   [Employee.setName]               Capitalized name: Bob Example 
2025-08-02 18:12:07 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 3002 and Name: carol example
2025-08-02 18:12:07 [DEBUG]   [Employee.setName]               Trying to Set name: carol example
2025-08-02 18:12:07 [DEBUG]   [Employee.setName]               Capitalized name: Carol Example 
2025-08-02 18:12:07 [DEBUG]   [Driver.<init>]                  Creating Driver with ID: 3002, Name: carol example, Hourly Rate: 25.0, License: B
2025-08-02 18:12:07 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 4001 and Name: fail
2025-08-02 18:12:07 [DEBUG]   [Employee.setName]               Trying to Set name: fail
2025-08-02 18:12:07 [DEBUG]   [Employee.setName]               Capitalized name: Fail 
2025-08-02 18:12:59 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 5001 and Name: alice example
2025-08-02 18:12:59 [DEBUG]   [Employee.setName]               Trying to Set name: alice example
2025-08-02 18:12:59 [DEBUG]   [Employee.setName]               Capitalized name: Alice Example 
2025-08-02 18:12:59 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 3001 and Name: bob example
2025-08-02 18:12:59 [DEBUG]   [Employee.setName]               Trying to Set name: bob example
2025-08-02 18:12:59 [DEBUG]   [Employee.setName]               Capitalized name: Bob Example 
2025-08-02 18:12:59 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 3002 and Name: carol example
2025-08-02 18:12:59 [DEBUG]   [Employee.setName]               Trying to Set name: carol example
2025-08-02 18:12:59 [DEBUG]   [Employee.setName]               Capitalized name: Carol Example 
2025-08-02 18:12:59 [DEBUG]   [Driver.<init>]                  Creating Driver with ID: 3002, Name: carol example, Hourly Rate: 25.0, License: B
2025-08-02 18:12:59 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 4001 and Name: fail
2025-08-02 18:12:59 [DEBUG]   [Employee.setName]               Trying to Set name: fail
2025-08-02 18:12:59 [DEBUG]   [Employee.setName]               Capitalized name: Fail 
2025-08-02 18:16:17 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 5001 and Name: alice example
2025-08-02 18:16:17 [DEBUG]   [Employee.setName]               Trying to Set name: alice example
2025-08-02 18:16:17 [DEBUG]   [Employee.setName]               Capitalized name: Alice Example 
2025-08-02 18:16:17 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 3001 and Name: bob example
2025-08-02 18:16:17 [DEBUG]   [Employee.setName]               Trying to Set name: bob example
2025-08-02 18:16:17 [DEBUG]   [Employee.setName]               Capitalized name: Bob Example 
2025-08-02 18:16:17 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 3002 and Name: carol example
2025-08-02 18:16:17 [DEBUG]   [Employee.setName]               Trying to Set name: carol example
2025-08-02 18:16:17 [DEBUG]   [Employee.setName]               Capitalized name: Carol Example 
2025-08-02 18:16:17 [DEBUG]   [Driver.<init>]                  Creating Driver with ID: 3002, Name: carol example, Hourly Rate: 25.0, License: B
2025-08-02 18:16:17 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 4001 and Name: fail
2025-08-02 18:16:17 [DEBUG]   [Employee.setName]               Trying to Set name: fail
2025-08-02 18:16:17 [DEBUG]   [Employee.setName]               Capitalized name: Fail 
2025-08-02 18:18:33 [DEBUG]   [Employee.<init>]                Intializing Employee with ID: 5001 and Name: alice example
2025-08-02 18:18:33 [DEBUG]   [Employee.setName]               Trying to Set name: alice example
2025-08-02 18:18:33 [DEBUG]   [Employee.setName]               Capitalized name: Alice Example 
